season,episode,code,title,violence,sex,language,overall,age,verdict,example_1,example_2,example_3
1,11,0111,The One With Mrs. Bing,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Mrs. Bing: “(on TV) Oh no, I am a fabulous mom! I bought my son his first condoms.”",Nudity & bodies — Ross: “The girl on the cover with her nipples showing?”,"Swearing — Chandler: “Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'”"
1,12,0112,The One With the Dozen Lasagnas,1,4,2,4,13,Skip for under 13,Rachel finds Barry and Mindy in her bed (affair reveal).,Heavy dating/sex-adjacent relationship comedy throughout.,
1,13,0113,The One With the Boobies,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — Joey: “That's right, mister, and I don't care how old you are, as long as you're under my roof you're gonna live by my rules. And that means no sleeping with your girlfriend.”","Nudity & bodies — Roger: “Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!”","Affairs / cheating — Scene: Monica and Rachel's, Joey is lamenting to everyone about hid dad's affair."
1,14,0114,The One With the Candy Hearts,2,3,1,3,10,Preview first — about 10+,"Sex & hookups — Rachel: “Pete the Weeper? Remember that guy who used to cry every time we had sex. (imitating) ""Was it good for you?""”","Nudity & bodies — Phoebe: “Or...or we can chant and dance around naked, you know, with sticks.”",Violence & injury — Joey: “(Looking at himself in the reflection on a knife) How do I look?”
1,15,0115,The One With the Stoned Guy,1,3,2,3,10,Preview first — about 10+,Joey wears all of Chandler's clothes as a bet; intimacy/roommate boundary jokes.,,
1,16,0116,"The One With Two Parts, part 1",1,4,1,4,13,Skip for under 13,"Sex & hookups — Ross: “Okay, I’m gonna play my sperm card one more time.”",Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Violence & injury — People start getting up. Ross grabs Carol’s doll to hold it upside down like a football, slapping it with his other hand."
1,17,0117,"The One With Two Parts, Part 2",2,3,2,3,10,Preview first — about 10+,"Sex & hookups — Monica: “(as Rachel) Remember back in freshman year? (Talking fast before Rachel can catch her) Well, Billy Dreskin and I had sex on your bed.”",Nudity & bodies — Rachel: “(as Monica) I use my breasts to get other people's attention.”,"Violence & injury — Monica: “Yes? (jumping as Rachel punches her arm) ..yes, she is.”"
1,18,0118,The One With All The Poker,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Porn / strippers / sex work — Joey: “Ahhh, I fold like a cheap hooker who got hit in the stomach by a fat guy with sores on his face. (the girls look at him, confused) Oh, I'm out.”","Alcohol & drugs — Monica and Phoebe get up and start celebrating in the kitchen, pouring wine and singing. Rachel, shocked, goes to join them."
1,19,0119,The One Where the Monkey Gets Away,3,4,3,4,13,Skip for under 13,"Sex & hookups — Rachel: “With Paolo, that's all there was, was heat! And it was just this raw, animal, sexual...”",Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Violence & injury — Ross: “Uh, okay, yeah, we could do that, but before we head off to the murder capital of the North-East, I was, uh, kinda wanting to run something by you.”"
1,20,0120,The One With the Evil Orthodontist,2,4,1,4,13,Skip for under 13,"Sex & hookups — Monica: “You had sex in his chair?!... I said that a little too loudly, didn't I?”","Nudity & bodies — Phoebe: “How can people do that?... (All but Phoebe walk away from the window in disgust.) Oh, you guys, look! Ugly Naked Guy got gravity boots!”","Violence & injury — Rachel: “…of there? Listen honey, if I'm hogging the ball too much you just jump right in there and take a couple punches because I'm telling you, this feels great.”"
1,21,0121,The One With The Fake Monica,1,1,2,2,10,Mild — okay from about 10+,Sex & hookups — Ross: “She says Marcel's humping thing's not a phase. Apparently he's reached sexual maturity.”,"Nudity & bodies — Fake Monica: “So once they caught on to the fact that we're, y'know, short and have breasts...”","Alcohol & drugs — Scene: Monica and Rachel's, Rachel is dusting. She comes to the table, lifts all the magazines and wipes under them, then just puts them down again. Monica bursts in, obviously drunk."
1,22,0122,The One With the Ick Factor,1,3,2,3,10,Preview first — about 10+,Sex & hookups — Ross: “I can't belive you two had sex in her dream.”,"Nudity & bodies — Chandler: “Well, my secretary is gonna be out for a couple of weeks. She is having one of her boobs redused. (Ross looks at her.) It's a whole big boob story.”","Violence & injury — Ross: “Oh, Carol and I have a new system. If she punches in 911, it means she's having a baby, otherwise I just ignore it.”"
1,23,0123,The One With the Birth,1,3,2,3,10,Preview first — about 10+,Rachel almost boards the plane for Italy with Paolo; romantic climax of S1.,,
1,24,0124,The One Where Rachel Finds Out,1,4,2,4,13,Skip for under 13,Ross and Rachel almost get together; airport chase romance peak.,Sexual tension is the A-plot.,
2,01,0201,The One With Ross' New Girlfriend,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Phoebe: “Oh, ok. How, it's been so long since you've had sex, you're wondering if they've changed it?”",,
2,02,0202,The One With the Breast Milk,1,3,2,3,10,Preview first — about 10+,Breastfeeding / milk jokes around Carol and Susan's baby.,,
2,03,0203,The One Where Mr. Heckles Dies,2,3,2,3,10,Preview first — about 10+,Joey in a 'period' movie role; mild crude jokes.,,
2,04,0204,The One With Phoebe's Husband,1,5,3,5,16,Heavy — skip for under 16,Phoebe reveals she is married; husband is gay — adult marriage/sexuality plot.,Dialogue includes porn-video and explicit sex references.,
2,05,0205,The One With Five Steaks and an Eggplant,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — JADE: “I don't know if you're still at this number, but I was just thinking about us, and how great it was, and, well, I know it's been three years, but, I was kinda hoping we could hook up again.”",Nudity & bodies — JADE: “I got a little drunk...and naked.”,
2,06,0206,The One With the Baby on the Bus,3,3,1,3,10,Preview first — about 10+,"Sex & hookups — PHOEBE: “But then, ""Smelly Cat"", I got 25 cents and a condom.”","Violence & injury — ROSS: “Well, there's no way I'm gonna get a shot. Maybe they can take the needle and thquirt it into my mouth, you know, like a thquirt gun.”","Suicide & self-harm — PHOEBE: “You know, I don't know, when I sang ""Su-Su-Suicide"", I got a dollar seventy-five.”"
2,07,0207,The One Where Ross Finds Out,1,4,2,4,13,Skip for under 13,Ross and Rachel sleep together for the first time (morning-after episode).,,
2,08,0208,The One With the List,1,3,2,3,10,Preview first — about 10+,List of Rachel's flaws; relationship fallout after first night together.,,
2,09,0209,The One With Phoebe's Dad,1,4,3,4,13,Skip for under 13,Phoebe's fake name / 'Regina Phalange' doctor flirting; sexual innuendo with patient roleplay vibe.,Chandler and Janice sex life jokes.,
2,10,0210,The One With Russ,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — ESTL: “[hangs up] [to Joey] Yeah, you're gonna have to sleep with her.”","Nudity & bodies — PHOE: “Although, you know what? You might want to consider wearing underwear next time. Yeah, cause when you sat down on your throne you could kind of see your... royal subject.”","Alcohol & drugs — RACH: “We went through a lot of wine tonight, you guys. [walks over to table, holding five empty wine bottles]”"
2,11,0211,The One With the Lesbian Wedding,1,4,2,4,13,Skip for under 13,"Sex & hookups — MR A: “Oh, wait, I remember, she also said she wanted to sleep with me one last time.”",Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Alcohol & drugs — MRS GREEN: “This is so much fun, just the girls. You know what we should do? Does anybody have any marijuana?”"
2,12-13,0212-0213,The One After the Superbowl,1,3,2,3,10,Preview first — about 10+,Super Bowl party; Eddie's creepy roommate energy.,Romantic tension and adult party drinking.,
2,14,0214,The One With the Prom Video,1,3,2,3,10,Preview first — about 10+,Joey dates a student; age-gap dating discomfort.,,
2,15,0215,The One Where Rachel and Ross... You Know,1,1,2,2,10,Mild — okay from about 10+,Sex & hookups — ROSS: “Doctor Burke is sexy?”,"Alcohol & drugs — DR. BURKE: “OK. You better. Oh God, here we go. Hey wanna see 'em go nuts? Watch this. [grabbing some wine glasses and opening the door to the party] Who needs glasses? [everyone laughs]”","Homophobic jokes — ROSS: “This screen is amazing, I mean Dick Van Dyke is practically life-size.”"
2,16,0216,The One Where Joey Moves Out,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — ROSS: “Well it's really. . . sexy. I wouldn't have thought it would be but. . . wow.”,"Nudity & bodies — FRIEND: “She's probably not even very pretty, just young enough so that everything is still pointing up. [Monica folds her arms over her breasts]”",
2,17,0217,The One Where Eddie Moves In,1,1,2,2,10,Mild — okay from about 10+,,,
2,18,0218,The One Where Dr. Remore Dies,1,3,2,3,10,Preview first — about 10+,Dr. Green and Rachel's dad conflict; adult relationship stress.,,
2,19,0219,The One Where Eddie Won't Go,1,1,2,2,10,Mild — okay from about 10+,"Alcohol & drugs — EDDIE: “So I got it in the junior miss department, big diff. Anyway check it out man, it's gonna make a hell of a conversation piece at out next cocktail party, huh pal?”",,
2,20,0220,The One Where Old Yeller Dies,3,2,1,3,10,Preview first — about 10+,"Nudity & bodies — JOEY: “Ya know, one of these times you're gonna really be naked and we're not gonna come over.”","Violence & injury — PHOEBE: “Oh, ok, murder, cancer, soccer teams eating each other in the Andes.”","Suicide & self-harm — PHOEBE: “Yeah, I talked to my grandma about the Old Yeller incident, and she told me that my mom used to not show us the ends of sad movies to shield us from the pain and sadness. You know, before she killed herself.”"
2,21,0221,The One With the Two Bullies,2,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — MONICA: “But I need it. Otherwords I'm gonna have to take that horrible diner job. You know, with the dancing and the costumes. I don't wanna have to wear flame retardant boobs.”","Violence & injury — JOEY: “Yeah really, Ross, have you ever been beaten up before?”","Alcohol & drugs — JOEY: “Monica, relax, go get a beer.”"
2,22,0222,The One With the Two Parties,1,2,3,3,10,Preview first — about 10+,"Nudity & bodies — Scene: Moondance Diner. Ross, Phoebe, Joey, and Chandler are sitting at the counter, Monica is working. Monica is wearing her costume, including big fake breasts.","Porn / strippers / sex work — CHANDLER: “Wow, it's, it's like porno for clowns.”","Swearing — RACHEL: “Ya know, I just, so weird. I mean I was in there just listening to them bitch about each other and all I kept thinking about was the fourth of July.”"
2,23,0223,The One With the Chicken Pox,1,3,2,3,10,Preview first — about 10+,Richard proposes waiting on kids; Monica/Richard breakup (adult themes).,,
2,24,0224,The One With Barry and Mindy's Wedding,1,4,2,4,13,Skip for under 13,Monica and Richard's age-gap relationship ends; sexual history implied.,Ross sees Rachel kiss in the next beat setup.,
3,01,0301,The One With the Princess Leia Fantasy,1,4,2,4,13,Skip for under 13,Ross sees Rachel kissing Mark — jealousy/affair anxiety drives the hour.,,
3,02,0302,The One Where No-one's Ready,1,3,2,3,10,Preview first — about 10+,Ross and Rachel officially break up; 'we were on a break' begins.,,
3,03,0303,The One With the Jam,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — Monica: “(entering from her bedroom) Okay, sperm donor number 03815, come on down! Okay, he's 6'2"", 170 pounds, and he describes himself as a male Geena Davis.”","Nudity & bodies — Chandler: “Hey, Joe, I gotta ask. The girl from the Xerox place buck naked (holds up one hand), or, or a big tub of jam. (holds up the other hand)”",
3,04,0304,The One With The Metaphorical Tunnel,1,3,2,3,10,Preview first — about 10+,Phoebe finds out her mother killed herself (heavy emotional content; not sex/violence).,,
3,05,0305,The One With Frank Jr.,1,4,2,4,13,Skip for under 13,"Sex & hookups — Chandler: “Well, we have a deal, where we each get to pick five celebrities that we can sleep with, and the other one can’t get mad.”","Porn / strippers / sex work — Frank: “Yeah, I was thinking that maybe we could go down to Time Square and pick up some ninja stars. And, oh, um, my friend Larry, he wants me to take a picture of a hooker.”","Alcohol & drugs — Joey: “Well, you should’ve told me that before, I’m not a mind reader. Hey, we’re out of beer. I’m going to Monica’s.”"
3,06,0306,The One With The Flashback,1,4,1,4,13,Skip for under 13,Sex & hookups — Main-cast women kissing is used as a sitcom gag.,Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Porn / strippers / sex work — Eric: “Oh, yeah, during the summer, I spend most weekends at my sister’s beach house, which you are welcome to use by the way. Although, I should probably tell you, she’s a porn star. (Chandler breaks his pencil in half)”"
3,07,0307,The One With the Race Car Bed,2,2,1,2,10,Mild — okay from about 10+,Sex & hookups — Ross: “Y’know your probably not allowed to sleep with any of your students.”,Violence & injury — Ross: “Okay! (picks up a knife and pretends to stab his heart.)”,
3,08,0308,The One With The Giant Poking Device,3,3,2,3,10,Preview first — about 10+,Sex & hookups — Chandler: “Y'know it serves me right for buying that twelve pack of condoms.”,Nudity & bodies — Joey: “(looking out the window) Ewww! Ugly Naked Guy is using his new hammock. It’s like a Play-Doo Fat Factory.”,"Violence & injury — Rachel: “Oh, it’s just like a bloodbath in here today.”"
3,09,0309,The One With The Football,1,4,3,4,13,Skip for under 13,Ross sleeps with Chloe the copy-shop woman while 'on a break.',,
3,10,0310,The One Where Rachel Quits,1,1,2,2,10,Mild — okay from about 10+,"Alcohol & drugs — Chandler: “Well seeing that drunk Santa wet himself, really perked up my Christmas.”",,
3,11,0311,The One Where Chandler Can’t Remember Which Sister,1,3,2,3,10,Preview first — about 10+,Rachel learns about Chloe; confrontation after the affair.,,
3,12,0312,The One With All The Jealousy,1,4,2,4,13,Skip for under 13,All-out Ross/Rachel fight over the break and Chloe.,,
3,13,0313,The One Where Monica and Richard Are Friends,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — Monica: “We’re not gonna have sex! Okay, nothing’s changed here. He still doesn’t want children and I still do, so that’s why we’re just gonna be friends.”",Nudity & bodies — Richard: “You’ve got panties stuck to your leg.”,"Porn / strippers / sex work — Monica: “You see that guy? He’s in classics now, but y'know as soon as we leave he’s going straight to the porn.”"
3,14,0314,The One With Phoebe’s Ex-Partner,1,2,3,3,10,Preview first — about 10+,"Nudity & bodies — Chandler: “It’s kinda a ah, a third nipple kinda thing.”",Swearing — Phoebe: “Okay. (singing) ‘Jingle bitch screwed me over! Go to hell jingle whore! Go to hell Go to hell. Go to hell-hell-hell.’ That’s all I have so far.”,Slut-shaming — Phoebe: “Okay. (singing) ‘Jingle bitch screwed me over! Go to hell jingle whore! Go to hell Go to hell. Go to hell-hell-hell.’ That’s all I have so far.”
3,15,0315,The One Where Ross and Rachel Take A Break,1,3,2,3,10,Preview first — about 10+,Ross dates a woman who looks like Rachel; rebound dating comedy.,,
3,16,0316,The One The Morning After,2,3,2,3,10,Preview first — about 10+,Chandler and Joey fight over a girl; competitive dating.,,
3,17,0317,The One Without The Ski Trip,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — Rachel: “Oh, I’m sorry, were you speaking to me or sleeping with someone else?”","Nudity & bodies — Joey: “(obviously cold) Hey, can you close that window Chandler? My nipples can cut glass over here!”","Affairs / cheating — Joey: “Well, I guess he says that because they were on a break when it happened, that she should of forgiven him by now.”"
3,18,0318,The One With The Hypnosis Tape,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — Joey: “Look, the point is, there’s a lot of women out there you haven’t even had sex with yet!”","Nudity & bodies — Phoebe: “All right, y'know forget hypnosis. The way to quit smoking is you have to dance naked in a field of heather, and then bath in the sweat of six healthy young men.”","Porn / strippers / sex work — Joey: “Yeah, or-or to get a hooker.”"
3,19,0319,The One With The Tiny T-shirt,2,1,3,3,10,Preview first — about 10+,"Sex & hookups — Joey: “Oh, yeah?! Then how come I keep thinking about her in all these sexual scenarios and stuff huh?!”","Affairs / cheating — Rachel: “Y'know, like I’d be cheating on Ross or something.”",Violence & injury — Chandler: “You slept with somebody three hours after you thought you broke up. I mean bullets have left guns slower!”
3,20,0320,The One With The Dollhouse,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Kate: “Look umm, I, I was, I was just caught up in the moment. That’s all it was. Joey, I’m-I’m sorry you feel bad, but haven’t you ever sleep with a women where it meant more to her than it did to you?”","Nudity & bodies — Rachel: “Okay, you are going to tell her and you’re going to tell her now. (She grabs his nipple and starts to twist it.)”","Swearing — Monica: “Oh, she was a cruel, cranky, old bitch! (Ross gives her a look) (to Ross) And I’m sorry she died. Did Dad say I get the dollhouse?”"
3,21,0321,The One With A Chick. And A Duck,1,3,2,3,10,Preview first — about 10+,Pete proposes to Monica; adult relationship pressure.,,
3,22,0322,The One With The Screamer,3,2,2,3,10,Preview first — about 10+,Pete's cage-fighting / MMA plot — sport violence on screen.,,
3,23,0323,The One With Ross's Thing,2,4,3,4,13,Skip for under 13,"Sex & hookups — Monica: “Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.”","Nudity & bodies — Chandler: “Y'know what? You should go to my guy, because when I went in there with my third nipple. He just lopped it right off. Y'know? So I guess I'm lucky. I mean not as lucky as people who were born with two nipples.”","Affairs / cheating — Joey: “Yeah, maybe he just cheated on you.”"
3,24,0324,The One With The Ultimate Fighting Champion,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Robin: “I have a feelin’... I, my wife is sleeping with her gynaecologist.”","Nudity & bodies — Rachel: “Y'know I don’t, I don’t understand guys, I mean I-I would never congratulate Monica on a great stew by y'know, grabbin’ her boob.”","Violence & injury — Chandler: “Thank you! Today, my boss keep slapping my butt and he was acting like it was no big deal.”"
3,25,0325,The One At The Beach,1,4,2,4,13,Skip for under 13,Monica and Richard almost reconnect; sexual tension returns.,Ross's relationship with Bonnie (bald girlfriend) jokes.,
4,01,0401,The One With The Jellyfish,3,2,2,3,10,Preview first — about 10+,"Nudity & bodies — Chandler: “We were playing Gin? Y'know if we were a couple, we could play this game naked.”","Affairs / cheating — Ross: “I mean she goes on for five pages about, about how I was unfaithful to her!”","Suicide & self-harm — Phoebe: “Yeah. Let’s see, my had Mom killed herself, and my Dad had run off, and I was living in a Gremlin with a guy named Cindy who talked to his hand.”"
4,02,0402,The One With The Cat,1,3,2,3,10,Preview first — about 10+,Sex & hookups — Rachel: “(interrupting) I bet he sensed that I was ready to have sex with another guy.”,"Nudity & bodies — Chip: “Yeah, they still wear underwear.”","Suicide & self-harm — Phoebe: “No, no-no, she was a human lady. This is the spirit of my Mom Lily, the one who killed herself.”"
4,03,0403,The One With The ‘Cuffs,1,3,3,3,10,Preview first — about 10+,"Sex & hookups — Mrs. Geller: “Oh, well Richard raved about the food at his party, of course you were sleeping with him.”",Nudity & bodies — Chandler: “When I walk outside naked people throw garbage at me.”,Swearing — Mrs. Geller: “(interrupting) A bitch?”
4,04,0404,The One With The Ballroom Dancing,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — Chandler: “Yeah, it was time. The old condom ring in the leather just doesn’t say ‘cool’ anymore.”",Nudity & bodies — Chandler: “No! I want a flabby gut and saggy man breasts!”,"Alcohol & drugs — Joey: “Whoa-whoa, don’t we need to do some kinda preparation first? Like ahh, get really drunk?”"
4,05,0405,The One With Joey's New Girlfriend,1,2,1,2,10,Mild — okay from about 10+,"Sex & hookups — Phoebe: “It's fun, God I love how sexy I am. (Coughs really loudly.)”","Nudity & bodies — Kathy: “Ohh, God, guys, check it out, you can see that girl's underwear!”","Alcohol & drugs — Phoebe: “(Singing) Smelly cat, smelly--(stops singing) Hey Gunther, be a good little boy and bring me a whiskey.”"
4,06,0406,The One With The Dirty Girl,1,1,1,1,10,Usually fine — about 10+,"Sex & hookups — Joey: “Oh, uh... don't forget your coupon. (Tries to strike a sexy pose up against the doorway to his room. Then goes inside).”",Homophobic jokes — Ross: “Did homo-erectus hunt with wooden tools?”,
4,07,0407,The One Where Chandler Crosses a Line,2,3,2,3,10,Preview first — about 10+,Sex & hookups — Joey: “And what?! Did you sleep with her?!”,Nudity & bodies — Chandler: “(entering in a bathrobe) I just walked in the bathroom and saw Kathy naked! It was like torture!”,"Violence & injury — …barking dog, a mooing cow, a laser beam, someone coughing, a jackhammer, a doorbell, a police siren, a ray gun, breaking dishes, and for a closer he plays the sound of a loud crash."
4,08,0408,The One With Chandler in a Box,1,4,3,4,13,Skip for under 13,Chandler and Kathy: Joey's girlfriend kiss / cheating triangle.,,
4,09,0409,The One Where They’re Gonna PARTY!,1,4,2,4,13,Skip for under 13,Chandler sleeps with Kathy after the triangle blows up.,,
4,10,0410,The One With The Girl From Poughkeepsie,1,1,4,4,13,Skip for under 13,"Nudity & bodies — Joey: “You got it! Oh-oh! (He starts patting the burned spot, which just happens to be over her breast.)”","Swearing — Monica: “I thought I was making headway, everyone was smiling at me all day, I get off work and I find out that they wrote this (puts on her chef hat) on my chef’s hat. (The hat says ‘Quit, bitch’)”",
4,11,0411,The One With Phoebe’s Uterus,1,3,2,3,10,Preview first — about 10+,Phoebe carries her brother's triplets — pregnancy is medical/adult.,,
4,12,0412,The One With The Embryos,1,4,3,4,13,Skip for under 13,Everyone finds out Monica and Chandler are secretly sleeping together.,,
4,13,0413,The One With Rachel’s Crush,1,4,2,4,13,Skip for under 13,Chandler spirals after thinking Kathy is sleeping with her co-star.,Ross jokes about 'cookies and porn' while his mom visits.,
4,14,0414,The One With Joey’s Dirty Day,2,5,3,5,16,Heavy — skip for under 16,Joey's bachelor-party / strip-club day after a dirty movie role.,Multiple strippers; 'get drunk and go to a strip club' is the plot.,
4,15,0415,The One With All The Rugby,1,3,2,3,10,Preview first — about 10+,Joey's porn-adjacent 'Days of Our Lives' storyline vibes; adult soap plots.,,
4,16,0416,The One With The Fake Party,2,3,1,3,10,Preview first — about 10+,"Sex & hookups — Rachel: “Okay, y’know what, y’know what? This playing hard to get thing is not working. Umm, hand-hand me those cherries. (Chandler does so.) Okay. Okay. (She does a little sexy walk over to where Joshua is standing.) Hi!”","Nudity & bodies — Monica: “And lucky means, more cleavage?”","Affairs / cheating — Joey: “All right look, y’know how-y’know how when you’re dating someone and you don’t want to cheat on them, unless it’s with someone really hot?”"
4,17,0417,The One With The Free Porn,1,5,2,5,16,Heavy — skip for under 16,Central joke: free porn channel they can't (won't) turn off.,Phone-sex / porn-addiction comedy throughout.,
4,18,0418,The One With Rachel’s New Dress,1,3,2,3,10,Preview first — about 10+,Rachel's messy romantic jealousy around Joshua.,,
4,19,0419,The One With All The Haste,1,4,2,4,13,Skip for under 13,Monica and Rachel offer to kiss each other for one minute so the guys will give back the apartment.,Time-lapse beat: the guys take the deal — 'Totally worth it!' / 'That was one good minute!',"Classic male-gaze 'girls kissing' sitcom gag; not the whole episode, but a clear adult beat."
4,20,0420,The One With All the Wedding Dresses,1,3,2,3,10,Preview first — about 10+,Joey in a European art film with a nude actress — nudity/sex-work adjacent jokes.,,
4,21,0421,The One With The Invitation,2,1,1,2,10,Mild — okay from about 10+,Nudity & bodies — Joey: “It’s better! You can’t go to a museum in your underwear!”,Affairs / cheating — Ross: “WE WERE ON A BREAK!!!!!!!”,Violence & injury — Rachel picks up a newspaper and starts beating him with it.
4,22,0422,The One With The Worst Best Man Ever,1,5,3,5,16,Heavy — skip for under 16,Joey hires a stripper for Ross's bachelor party; stripper chaos.,Stripper plot dominates the episode.,
4,23,0423,The One With Ross’s Wedding Parts I and II,1,4,2,4,13,Skip for under 13,London wedding; Monica and Chandler hook up (secret affair starts).,Ross's wedding drunkenness and cold feet.,
5,01,0501,The One After Ross Says Rachel,1,4,3,4,13,Skip for under 13,Ross says Emily's name at the altar — wedding disaster.,Monica/Chandler continue secret sex relationship.,
5,02,0502,The One With All The Kissing,1,3,2,3,10,Preview first — about 10+,Aftermath of the wedding; Monica/Chandler hide the affair.,,
5,03,0503,The One Hundredth,1,3,2,3,10,Preview first — about 10+,Everyone learns Monica and Chandler are together.,,
5,04,0504,The One Where Phoebe Hates PBS,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — Monica: “All right, let me see. (She grabs the 8 ball.) Will Chandler have sex tonight? (Reads the answer.) Don't count on it. Seems like it works to me.”","Suicide & self-harm — Phoebe: “Okay, 'cause right after my mom killed herself, I was just in this really bad place, y'know personally.”","Alcohol & drugs — Chandler: “(entering, happily, with a bottle of champagne, thinking that Monica is the only one there) Ha-ha-ha-(sees everyone)-enh-enh. I'm so glad you guys are all here! My office finally got wrinkle free fax paper!”"
5,05,0505,The One With All the Kips,1,3,2,3,10,Preview first — about 10+,Sex & hookups — Chandler: “And condoms are the way to do that?”,"Nudity & bodies — Chandler: “I know, me too. Hey! Y'know what if we went away for a whole weekend? Y'know we'd have no interruptions and we could be naked the entire time.”",
5,06,0506,The One With The Yeti,1,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — Ross: “Hey! Hey, look! Ugly Naked Guy's back!”",Violence & injury — She puts her leg up on the chair and removes this huge knife from her boot to open the box with. The guys are shocked at the knife's existence.,
5,07,0507,The One Where Ross Moves In,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Rachel: “No, I have to go downstairs and come back up as if I'm coming home from the regatta gala. Okay? So just go distract him. But don't be sexy.”",Nudity & bodies — Chandler: “Are you looking at naked tribe's women?”,"Porn / strippers / sex work — Joey: “Um-hmm! Look, I-I-I don't know how much more of this I can take! Did you know he taped over my Baywatch tape with some show about bugs! My God! What if that had been porn?”"
5,08,0508,The One With The Thanksgiving Flashbacks,1,3,2,3,10,Preview first — about 10+,"Thanksgiving flashbacks include Monica's fat suit and Chandler's insult that shapes her life — body image, not sex.",,
5,09,0509,The One With Ross's Sandwich,1,4,2,4,13,Skip for under 13,Ross and Emily's annulment; romantic/sexual relationship bureaucracy.,,
