season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
5,3,0503,3. How a Bill Becomes a Law,2,1,2,2,10,Mild — okay from about 10+,Nudity & bodies — “It's because the two leading industries here are corn syrup and rubber nipples.”
5,4,0504,4. Sex Education,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Uh, actually, I think it's pronounced ""horny.”"
5,5,0505,5. Halloween Surprise,3,4,3,4,13,Skip for under 13,Sex & hookups — “An evening with sexy nurse Ann Perkins.”
5,6,0506,6. Ben's Parents,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — “But usually, we forgot what we were arguing about and just had sex.”"
5,7,0507,7. Leslie vs April,3,2,2,3,10,Preview first — about 10+,Sex & hookups — “Have sex with Jerry.”
5,8,0508,8. Pawnee Commons,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “If you ever need me, you know where to find me-- In bed next to you, probably having sex with you.”"
5,9,0509,9. Ron and Diane,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Smart, funny, independent, and sexy? Diane Lewis? More like Diane Sawyer.”"
5,10,0510,Two Parties,3,4,2,4,13,Skip for under 13,"Sex & hookups — “I want to see the Colts beat the Patriots 49 to nothing, then I yell at Tom Brady and make him cry, then I hook up with Dave Matthews, and we play golden tee for ten hours.”"
5,11,0511,Women In Garbage,2,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — “They smoked their cigars, they snapped my bra, wore mirrors on their shoes to look up my skirt.”"
5,12,0512,Ann's Decision,1,5,3,5,16,Heavy — skip for under 16,Sex & hookups — “I'm going to the sperm bank today.”
5,13,0513,Emergency Response,3,1,2,3,10,Preview first — about 10+,Sex & hookups — “Have you ever thought of being a sperm donor? I'm impotent.”
5,14,0514,Leslie and Ben,3,2,2,3,10,Preview first — about 10+,"Nudity & bodies — “And they were nipple rings, at one point.”"
5,15,0515,Correspondents' Lunch,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “Will you be the sperm donor? The story of this situation is it's extremely personal.”
5,16,0516,Bailout,3,4,3,4,13,Skip for under 13,"Sex & hookups — “Ann Perkins asked me if I would like to donate sperm, so she can have a baby.”"
5,17,0517,Partridge,2,4,2,4,13,Skip for under 13,"Sex & hookups — “The nurse still won't have sex with me, and she's not even queer.”"
5,18,0518,Animal Control,2,1,3,3,10,Preview first — about 10+,Sex & hookups — “Sexual history.”
5,19,0519,Article Two,2,1,3,3,10,Preview first — about 10+,"Nudity & bodies — “Andy! - Yeah! He's naked, everybody! Put that away! - We're all Ted! Yeah! - No, Andy! Whoo! Thank God.”"
5,20,0520,Jerry's Retirement,2,2,1,2,10,Mild — okay from about 10+,"Sex & hookups — “I didn't find the article about you teaching sex-ed to seniors, but I did find this folder labeled - ""Senior sex-ed thank you notes.”"
5,21,0521,Swing Vote,3,4,3,4,13,Skip for under 13,Sex & hookups — “You guys want a threesome.”
5,22,0522,Are You Better Off?,2,5,3,5,16,Heavy — skip for under 16,Sex & hookups — “Let's go have sex in a tree.”
6,1,0601,1. London Part 1 & 2,3,3,2,3,10,Preview first — about 10+,"Sex & hookups — “First, you screwed my son out of your business, and then you stole my daughter's virginity.”"
6,3,0603,3. The Pawnee-Eagleton Tip Off Classic,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “But when you tell 'em it's time to change their oil, they ask, ""Extra virgin or white truffle?"" Thanks, guys.”"
6,4,0604,4. Doppelgangers,2,1,2,2,10,Mild — okay from about 10+,Violence & injury — “You don't know Meat Is Murder? It's one of the best songs ever written about industrialized beef consumption.”
6,5,0605,5. Gin It Up!,1,1,4,4,13,Skip for under 13,"Sex & hookups — “A tweet has been tweeted from the Parks and Rec Twitter, and I'm afraid it is quite sexually graphic.”"
6,6,0606,6. Filibuster,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “I know this is a dire situation, but I swear to God, this is like a crazy sex fantasy for me.”"
6,7,0607,7. Recall Vote,1,1,1,1,10,Usually fine — about 10+,"Sex & hookups — “Ann, it was very hard to capture your beauty, and, Ben, you make a sexy pumpkin No surprise.”"
6,8,0608,8. Fluoride,2,2,1,2,10,Mild — okay from about 10+,"Sex & hookups — “What's he gonna be in ten years--Snoop Laser Snake? Who knows? What are you saying-- we need to sex up fluoride? I don't know, Tom.”"
6,9,0609,9. The Cones of Dunshire,2,1,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Who's that, Michelle Wie? - It's not sexual.”"
6,10,0610,Second Chunce,2,5,2,5,16,Heavy — skip for under 16,"Sex & hookups — “Those terrible people have paid me so much money, I have a condo in every virgin island.”"
6,11,0611,New Beginnings,3,1,2,3,10,Preview first — about 10+,"Violence & injury — “This isn't a shotgun wedding, although, yes, she is pregnant, and, yes, we did just decide to get married today.”"
6,12,0612,Farmers Market,2,5,2,5,16,Heavy — skip for under 16,"Sex & hookups — “Super fun it feels super good I wanna do it all the time sex is cool Okay, Sex Is Cool.”"
6,13,0613,Ann and Chris,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — “Tell Ann about the groundbreaking, frame Ann for murder, release a deadly virus into the water supply.”"
6,14,0614,Anniversaries,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Got about 20 minutes before I either get really tired or really horny, so let's roll.”"
6,15,0615,The Wall,3,1,2,3,10,Preview first — about 10+,"Sex & hookups — “But I have to warn you, it's not super sexy.”"
6,16,0616,New Slogan,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “Me so horny! I knew it.”
6,17,0617,Galentine's Day,2,2,2,2,10,Mild — okay from about 10+,"Nudity & bodies — “So do I strip down to my underwear, or all the way naked? Hello, Diane.”"
6,18,0618,Prom,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “And if this is the evening you decide to have sex, use protection, please! Dude, if you're not gonna play anything, I'm stepping in.”"
6,19,0619,Flu Season 2,3,1,2,3,10,Preview first — about 10+,Violence & injury — “My stomach is trying to murder me.”
6,20,0620,"One in 8,000",1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “When we're together, all we do is have sex, sit on the couch, eat homemade pasta, - have sex again.”"
6,21,0621,Moving Up Part 1 & 2,1,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — “Every time someone in Pawnee clicks through a slideshow of American music award red-carpet side-boob fails, they'll say, ""Thank you, Ben Wyatt.”"
7,1,0701,1. 2017,3,2,2,3,10,Preview first — about 10+,Sex & hookups — “And that tuxedo makes you look like a sexy orchestra conductor.”
7,2,0702,2. Ron & Jammy,3,3,2,3,10,Preview first — about 10+,"Sex & hookups — “Did it work, baby? Are you horny with gratitude? You two more than deserve each other.”"
7,3,0703,3. William Henry Harrison,2,2,3,3,10,Preview first — about 10+,Sex & hookups — “An amusement park with rides and food and sexy cartoon characters.”
7,4,0704,4. Leslie & Ron,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — “""If we were to work together, she would undoubtedly drive me insane, ""and it is possible that we would murder each other.”"
7,5,0705,5. Gryzzlbox,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “So I'm just trying to distract myself with work so I don't think about the marathon bone sex they're probably having.”
7,6,0706,6. Save JJ's,1,4,2,4,13,Skip for under 13,Sex & hookups — “What? Let me repeat that because it makes me very horny.”
7,7,0707,7. Donna & Joe,2,1,2,2,10,Mild — okay from about 10+,"Sex & hookups — “""You're my sexy roommate.”"
7,8,0708,8. Ms. Ludgate-Dwyer Goes to Washington,1,1,1,1,10,Usually fine — about 10+,Affairs / cheating — “She had an affair with his best friend.”
7,9,0709,9. Pie-Mary,1,1,3,3,10,Preview first — about 10+,Swearing — “Son of a bitch.”
7,10,0710,The Johnny Karate Super Awesome Musical Explosion Show,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — “…Dunk Tank! All that and more on the Johnny Karate Super Awesome Musical Explosion Show! It's time to punch boredom in its stupid face Jump, kick, punch and drop And drop-kick sadness into outer space Punch, yeah…”"
7,11,0711,Two Funerals,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “I didn't ask for flavored condoms.”
7,12,0712,"One Last Ride, Part 1 & 2",2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “You had sex one time and you had three kids and they're all, like, smart and great and healthy.”"
